DateTime,Positive_reviews,Negative_reviews,Source
2024-04-07,8,5,WDL
2024-04-08,1,3,WDL
2024-04-09,5,3,WDL
2024-04-10,0,0,WDL
2024-04-11,2,2,WDL
2024-04-12,2,4,WDL
2024-04-13,0,1,WDL
2024-04-14,5,0,WDL
2024-04-15,2,1,WDL
2024-04-16,4,1,WDL
2024-04-17,2,0,WDL
2024-04-18,1,2,WDL
2024-04-19,1,1,WDL
2024-04-20,1,7,WDL
2024-04-21,1,1,WDL
2024-04-22,1,3,WDL
2024-04-23,0,3,WDL
2024-04-24,1,0,WDL
2024-04-25,2,0,WDL
2024-04-26,2,1,WDL
2024-04-27,3,5,WDL
2024-04-28,2,3,WDL
2024-04-29,6,2,WDL
2024-04-30,2,0,WDL
2024-05-01,3,2,WDL
2024-05-02,3,4,WDL
2024-05-03,0,2,WDL
2024-05-04,3,0,WDL
2024-05-05,0,5,WDL
2024-05-06,1,1,WDL
2024-05-07,2,2,WDL
2024-05-08,1,4,WDL
2024-05-09,0,3,WDL
2024-05-10,0,0,WDL
2024-05-11,1,0,WDL
2024-05-12,2,0,WDL
2024-05-13,2,3,WDL
2024-05-14,0,7,WDL
2024-05-15,6,10,WDL
2024-05-16,2,10,WDL
2024-05-17,11,9,WDL
2024-05-18,7,12,WDL
2024-05-19,10,9,WDL
2024-05-20,12,17,WDL
2024-05-21,4,8,WDL
2024-05-22,5,3,WDL
2024-05-23,6,0,WDL
2024-05-24,8,6,WDL
2024-05-25,4,2,WDL
2024-05-26,2,5,WDL
2024-05-27,6,3,WDL
2024-05-28,2,3,WDL
2024-05-29,2,1,WDL
2024-05-30,6,3,WDL
2024-05-31,5,1,WDL
2024-06-01,1,5,WDL
2024-06-02,4,4,WDL
2024-06-03,1,0,WDL
2024-06-04,1,4,WDL
2024-06-05,6,2,WDL
2024-06-06,1,2,WDL
2024-06-07,1,1,WDL
2024-06-08,3,3,WDL
2024-06-09,2,6,WDL
2024-06-10,5,4,WDL
2024-06-11,2,1,WDL
2024-06-12,2,1,WDL
2024-06-13,3,1,WDL
2024-06-14,1,1,WDL
2024-06-15,4,5,WDL
2024-06-16,4,4,WDL
2024-06-17,3,0,WDL
2024-06-18,1,0,WDL
2024-06-19,3,4,WDL
2024-06-20,0,2,WDL
2024-06-21,4,4,WDL
2024-06-22,7,11,WDL
2024-06-23,7,5,WDL
2024-06-24,3,7,WDL
2024-06-25,5,3,WDL
2024-06-26,5,7,WDL
2024-06-27,9,9,WDL
2024-06-28,4,4,WDL
2024-06-29,7,10,WDL
2024-06-30,7,8,WDL
2024-07-01,8,12,WDL
2024-07-02,11,10,WDL
2024-07-03,10,9,WDL
2024-07-04,18,13,WDL
2024-07-05,8,7,WDL
2024-07-06,9,17,WDL
2024-07-07,14,8,WDL
2024-07-08,10,6,WDL
2024-07-09,10,8,WDL
2023-05-13,528,158,FC
2023-05-14,407,189,FC
2023-05-15,328,162,FC
2023-05-16,281,147,FC
2023-05-17,252,109,FC
2023-05-18,0,0,FC
2023-05-19,213,107,FC
2023-05-20,194,107,FC
2023-05-21,222,141,FC
2023-05-22,223,103,FC
2023-05-23,193,92,FC
2023-05-24,0,0,FC
2023-05-25,0,0,FC
2023-05-26,312,162,FC
2023-05-27,116,78,FC
2023-05-28,140,69,FC
2023-05-29,116,65,FC
2023-05-30,0,0,FC
2023-05-31,96,51,FC
2023-06-01,82,32,FC
2023-06-02,89,29,FC
2023-06-03,73,39,FC
2023-06-04,91,44,FC
2023-06-05,0,0,FC
2023-06-06,64,35,FC
2023-06-07,54,15,FC
2023-06-08,55,24,FC
2023-06-09,59,25,FC
2023-06-10,57,26,FC
2023-06-11,0,0,FC
2023-06-12,46,23,FC
2023-06-13,37,12,FC
2023-06-14,35,18,FC
2023-06-15,28,21,FC
2023-06-16,35,28,FC
2023-06-17,0,0,FC
2023-06-18,39,19,FC
2023-06-19,38,20,FC
2023-06-20,44,18,FC
2023-06-21,33,16,FC
2023-06-22,0,0,FC
2023-06-23,20,24,FC
2023-06-24,24,11,FC
2023-06-25,33,24,FC
2023-06-26,0,0,FC
2023-06-27,0,0,FC
2023-06-28,52,30,FC
2023-06-29,15,13,FC
2023-06-30,35,16,FC
2023-07-01,0,0,FC
2023-07-02,50,23,FC
2023-07-03,49,28,FC
2023-07-04,57,20,FC
2023-07-05,63,26,FC
2023-07-06,0,0,FC
2023-07-07,46,23,FC
2023-07-08,72,24,FC
2023-07-09,82,33,FC
2023-07-10,0,0,FC
2023-07-11,71,31,FC
2023-07-12,52,26,FC
2023-07-13,0,0,FC
2023-07-14,55,21,FC
2023-07-15,31,19,FC
2023-07-16,49,22,FC
2023-07-17,0,0,FC
2023-07-18,50,19,FC
2023-07-19,39,16,FC
2023-07-20,34,14,FC
2023-07-21,0,0,FC
2023-07-22,30,12,FC
2023-07-23,28,13,FC
2023-07-24,24,21,FC
2023-07-25,41,25,FC
2023-07-26,0,0,FC
2023-07-27,46,27,FC
2023-07-28,38,14,FC
2023-07-29,69,25,FC
2023-07-30,57,29,FC
2023-07-31,0,0,FC
2023-08-01,65,28,FC
2023-08-02,51,23,FC
2023-08-03,44,24,FC
2023-08-04,0,0,FC
2023-08-05,37,15,FC
2023-08-06,35,20,FC
2023-08-07,38,13,FC
2023-08-08,0,0,FC
2023-08-09,23,17,FC
2023-08-10,19,10,FC
2023-08-11,22,16,FC
2023-08-12,0,0,FC
2023-08-13,18,14,FC
2023-08-14,23,16,FC
2023-08-15,23,12,FC
2023-08-16,0,0,FC
2023-08-17,24,15,FC
2023-08-18,16,13,FC
2023-08-19,26,11,FC
2023-08-20,0,0,FC
2023-08-21,28,9,FC
2023-08-22,26,6,FC
2023-08-23,9,10,FC
2023-08-24,18,16,FC
2023-08-25,0,0,FC
2023-08-26,11,11,FC
2023-08-27,17,8,FC
2023-08-28,24,8,FC
2023-08-29,0,0,FC
2023-08-30,24,13,FC
2023-08-31,0,0,FC
2023-09-01,32,11,FC
2023-09-02,0,0,FC
2023-09-03,10,10,FC
2023-09-04,18,8,FC
2023-09-05,15,10,FC
2023-09-06,0,0,FC
2023-09-07,19,10,FC
2023-09-08,14,0,FC
2023-09-09,17,7,FC
2023-09-10,0,0,FC
2023-09-11,12,10,FC
2023-09-12,9,5,FC
2023-09-13,10,2,FC
2023-09-14,0,0,FC
2023-09-15,7,9,FC
2023-09-16,26,10,FC
2023-09-17,54,26,FC
2023-09-18,0,0,FC
2023-09-19,40,20,FC
2023-09-20,51,20,FC
2023-09-21,40,25,FC
2023-09-22,53,14,FC
2023-09-23,0,0,FC
2023-09-24,60,15,FC
2023-09-25,45,9,FC
2023-09-26,0,0,FC
